카드_고유키,카드회사코드,카드회사명,상품유형,상품코드,상품명,카드등급,후불교통,카드이미지,심의필일자,적재일자
카드_0,323,수협은행카드,,,,,N,20240104/cardImage_Y/.png,,20240104
카드_1,323,수협은행카드,,C00053,휴먼라이프 S1 수협카드,,N,20240104/cardImage_Y/C00053.png,준법감시인심의필상제2023-2517(2023.07.10.기준),20240104
카드_2,323,수협은행카드,,C00006,S1카드,,N,20240104/cardImage_Y/C00006.png,준법감시인심의필상제2023-2516(2023.07.10.기준),20240104
카드_3,323,수협은행카드,신용카드,C00045,biz top기업 신용카드,,N,20240104/cardImage_Y/C00045.png,준법감시인심의필상제2023-2548(2023.07.10.기준),20240104
카드_4,323,수협은행카드,,C00036,국고보조금전용카드(e나라도움카드) (개인),,N,20240104/cardImage_Y/C00036.png,준법감시인심의필상제2023-2518(2023.07.10.기준),20240104
카드_5,323,수협은행카드,신용카드,C00039,국고보조금전용카드(e나라도움카드) (기업),,N,20240104/cardImage_Y/C00039.png,준법감시인심의필상제2023-2546(2023.07.10.기준),20240104
카드_6,323,수협은행카드,신용카드,C00011,국민행복카드 (신용),,N,20240104/cardImage_Y/C00011.png,준법감시인심의필상제2023-2515(2023.07.10.기준),20240104
카드_7,323,수협은행카드,,C00021,비자플래티늄카드 (개인),,N,20240104/cardImage_Y/C00021.png,준법감시인심의필상제2023-4306(2023.12.21.기준),20240104
카드_8,323,수협은행카드,신용카드,C00035,비자플래티늄카드 (기업),,N,20240104/cardImage_Y/C00035.png,준법감시인심의필상제2023-2541(2023.07.10.기준),20240104
카드_9,323,수협은행카드,,C00022,비즈플러스,,N,20240104/cardImage_Y/C00022.png,준법감시인심의필상제2023-2545(2023.07.10.기준),20240104
카드_10,323,수협은행카드,,C00040,독도사랑카드 (개인),,N,20240104/cardImage_Y/C00040.png,준법감시인심의필상제2023-4305(2023.12.21.기준),20240104
카드_11,323,수협은행카드,신용카드,C00015,독도사랑카드 (기업),,N,20240104/cardImage_Y/C00015.png,준법감시인심의필상제2023-2543(2023.07.10.기준),20240104
카드_12,323,수협은행카드,신용카드,C00052,Feel카드(기업),,N,20240104/cardImage_Y/C00052.png,준법감시인심의필상제2023-2542(2023.07.10.기준),20240104
카드_13,323,수협은행카드,,C00003,Feel카드(개인),,N,20240104/cardImage_Y/C00003.png,준법감시인심의필상제2023-4304(2023.12.21.기준),20240104
카드_14,323,수협은행카드,신용카드,C00007,Sh그린 신용카드 (기업),,N,20240104/cardImage_Y/C00007.png,준법감시인심의필상제2023-2544(2023.07.10.기준),20240104
카드_15,323,수협은행카드,신용카드,C00029,정부구매카드,,N,20240104/cardImage_Y/C00029.png,준법감시인심의필상제2023-2549(2023.07.10.기준),20240104
카드_16,323,수협은행카드,,C00019,블루스카이카드 (기업),,N,20240104/cardImage_Y/C00019.png,준법감시인심의필상제2023-2550(2023.07.10.기준),20240104
카드_17,323,수협은행카드,체크카드,C00057,Real Zero 부경대 학생증 파트너 체크,,N,20240104/cardImage_Y/C00057.png,준법감시인심의필상제2023-2536(2023.07.10.기준),20240104
카드_18,323,수협은행카드,체크카드,C00047,국고보조금전용 체크카드(e나라도움 체크카드) (기업),,N,20240104/cardImage_Y/C00047.png,준법감시인심의필상제2023-2553(2023.07.10.기준),20240104
카드_19,323,수협은행카드,체크카드,C00046,국고보조금전용 체크카드(e나라도움 체크카드) (개인),,N,20240104/cardImage_Y/C00046.png,준법감시인심의필상제2023-2533(2023.07.10.기준),20240104
카드_20,323,수협은행카드,체크카드,C00012,국민행복카드 (체크),,N,20240104/cardImage_Y/C00012.png,준법감시인심의필상제2023-2530(2023.07.10.기준),20240104
카드_21,323,수협은행카드,체크카드,C00008,Sh그린 체크카드 (기업),,N,20240104/cardImage_Y/C00008.png,준법감시인심의필상제2023-2552(2023.07.10.기준),20240104
카드_22,323,수협은행카드,,C00030,제주도 보조금카드,,N,20240104/cardImage_Y/C00030.png,준법감시인심의필상제2023-2534(2023.07.10.기준),20240104
카드_23,326,우리카드,신용카드,102721,코웨이 우리카드 Ⅱ,,N,20240104/cardImage_Y/102721.png,여신금융협회 심의필 제 제 2023 - C1a - 12559호 (2023.11.20),20240104
카드_24,326,우리카드,신용카드,102859,SK매직 우리카드 Ⅱ,,N,20240104/cardImage_Y/102859.png,여신금융협회 심의필 제 제 2023 - C1a - 13291호 (2023.12.07),20240104
카드_25,326,우리카드,신용카드,102535,LG전자 우리카드,,N,20240104/cardImage_Y/102535.png,여신금융협회 심의필 제 제 2023 - C1a - 12788호 (2023.11.22),20240104
카드_26,326,우리카드,신용카드,102858,바디프랜드 우리카드 Ⅱ,,N,20240104/cardImage_Y/102858.png,여신금융협회 심의필 제 제 2023 - C1a - 13397호 (2023.12.11),20240104
카드_27,326,우리카드,신용카드,102724,넥센타이어 우리카드 Ⅱ,,N,20240104/cardImage_Y/102724.png,여신금융협회 심의필 제 제 2023 - C1a - 13290호 (2023.12.07),20240104
카드_28,326,우리카드,신용카드,102857,쿠쿠 우리카드,,N,20240104/cardImage_Y/102857.png,여신금융협회 심의필 제 제 2023 - C1a - 13396호 (2023.12.11),20240104
카드_29,326,우리카드,신용카드,102239,NU 갤러리아 우리카드,,N,20240104/cardImage_Y/102239.png,여신금융협회 심의필 제 2023-C1a-00803호 (2023.02.01),20240104
