카드_고유키,카드설명
카드_0,
카드_1,바다위새로운세상휴먼라이프크루즈여행을위한맞춤혜택
카드_2,7개업종중선택한1개업종가맹점에서카드사용시7%청구할인
카드_3,법인/개인사업자에최적화된혜택을드리는카드
카드_4,국고보조금집행시사용되는카드
카드_5,국고보조금집행시사용되는카드로써국고보조금을교부받는보조사업자에게발급해드리는카드
카드_6,국가바우처통합카드
카드_7,특별한1%의당신을위해남다른품격과가치의시작
카드_8,특별한1%의당신을위해남다른품격과가치의시작
카드_9,성공비즈니스를위한든든한파트너
카드_10,ILoveDokdo
카드_11,대한민국우리의땅독도를지킵시다
카드_12,"신용카드고유기능을이용하는법인신용카드로포인트약정기업회원연안여객포인트적립,바다마트청구할인"
카드_13,"행복한생활,쇼핑의즐거움"
카드_14,"생활도Green,카드도Green일상속에서손쉽게녹색생활을실천하고그린카드로우리가족생활비절약은물론다양한혜택까지~"
카드_15,투명하고효율적인정부예산집행정부관서모든예산과목의운영경비를정부구매카드로지출하세요.
카드_16,회원의카드이용금액에따라제휴업체인대한항공의스카이패스마일리지를적립해주는상품
카드_17,수협은행제휴학교전용체크카드
카드_18,국고보조금집행시사용되는카드로써국고보조금을교부받는보조사업자및대상자에게발급해드리는체크카드
카드_19,국고보조금집행시사용되는카드로써국고보조금을교부받는보조사업자및대상자에게발급해드리는체크카드
카드_20,국가바우처통합카드
카드_21,"생활도Green,카드도Green일상속에서손쉽게녹색생활을실천하고그린카드로우리가족생활비절약은물론다양한혜택까지~"
카드_22,제주도청에서민간(개인및단체)에지원되는보조금예산에대한집행을수협은행에서발행된보조금전용카드를통하여집행하도록발행된카드
카드_23,코웨이 렌탈요금 청구할인!
카드_24,SK매직 렌탈요금 청구할인!
카드_25,LG전자 구독요금 청구할인과 장기할부 서비스!
카드_26,바디프랜드 렌탈요금 청구할인과 장기할부 서비스!
카드_27,넥센타이어 렌탈요금 청구할인!
카드_28,쿠쿠 렌탈요금 청구할인과 장기할부 서비스!
카드_29,NU 갤러리아 우리카드
카드_30,코오롱몰 상품 구매시 5% 청구할인 혜택 + 12/24/36개월 장기할부 청구할인 혜택까지!
카드_31,나를 위한 UNIQ한 선택
카드_32,"오케이몰 상품을 24/36개월 장기할부로 구매하고, 월 최대 2만원 청구할인 혜택까지!"
카드_33,"국가바우처, 임신/출산, 보육/교육, 쇼핑, 해외, 언택트라이프 혜택까지 모두 담다!!"
카드_34,"국가바우처, 임신/출산, 보육/교육, 쇼핑, 해외, 언택트라이프 혜택까지 모두 담다!!"
카드_35,AK 우리카드에 AK 쇼핑의 혜택을 전부 담다
카드_36,카드의정석 넥센타이어 렌탈 우리카드
