보증_고유키,금융회사코드,금융회사명,상품종류,상품유형,금융상품코드,금융상품명
보증_0,2,KDB산업은행,목돈모으기,정기적금,100239000101,KDB 기업정기적금
보증_1,2,KDB산업은행,목돈모으기,정기적금,100238000101,KDB 자유적금
보증_2,2,KDB산업은행,목돈굴리기,정기예금,100237000101,KDB 정기예금
보증_3,2,KDB산업은행,입출금자유상품,자유입출금,100024000101,KDB뉴딜 기업통장
보증_4,2,KDB산업은행,입출금자유상품,자유입출금,100016000101,KDB Hi 비대면 입출금통장
보증_5,2,KDB산업은행,입출금자유상품,자유입출금,100014000101,KDB Hi 입출금통장
보증_6,2,KDB산업은행,입출금자유상품,자유입출금,100015000101,KDBdream Account
보증_7,2,KDB산업은행,입출금자유상품,자유입출금,0221100000,KDB부가가치세 매입자 납부전용예금
보증_8,2,KDB산업은행,목돈굴리기,정기예금,100038000101,일반 정기예금
보증_9,2,KDB산업은행,목돈모으기,정기적금,100025000101,일반 정기적금
보증_10,2,KDB산업은행,입출금자유상품,자유입출금,100011000201,행복지킴이 통장
보증_11,2,KDB산업은행,단기 운용상품,기타,100077000101,양도성 예금증서(CD)
보증_12,2,KDB산업은행,외화예금,외화예금,100205000101,하이플러스 외화정기예금
보증_13,2,KDB산업은행,외화예금,외화예금,100203000101,외화정기예금
보증_14,2,KDB산업은행,외화예금,외화예금,100202000101,외화보통예금
보증_15,2,KDB산업은행,외화예금,외화예금,100201000101,외화당좌예금
보증_16,2,KDB산업은행,입출금자유상품,자유입출금,100011000301,KDB 국민연금 안심(安心)통장
보증_17,2,KDB산업은행,목돈굴리기,정기예금,100229000101,콜옵션부(Callable) 구조화 정기예금
보증_18,2,KDB산업은행,입출금자유상품,자유입출금,100011000401,KDB 호국보훈지킴이통장
보증_19,2,KDB산업은행,입출금자유상품,자유입출금,100018000101,KDBdream 기업 Account
보증_20,2,KDB산업은행,입출금자유상품,자유입출금,100081000101,보증서담보대출 입금전용 보통예금
보증_21,3,IBK기업은행,자유적립식,적금,01211210113,IBK D-day적금
보증_22,3,IBK기업은행,자유적립식,적금,01211210102,IBK평생한가족통장[적금_자유적립식]
보증_23,3,IBK기업은행,"일시예치식,채권",,01511810025,IBK D-Day통장(단기중금채)
보증_24,3,IBK기업은행,"일시예치식,채권",,01511830082,1석7조통장(중금채)
보증_25,3,IBK기업은행,"자유적립식,채권",,01511880014,IBK 늘푸른하늘통장[적립식중금채]
보증_26,3,IBK기업은행,"일시예치식,채권",,01511830078,IBK평생한가족통장[중금채]
보증_27,3,IBK기업은행,자유적립식,적금,01211210109,i-ONE 놀이터적금
보증_28,3,IBK기업은행,자유적립식,저축,01211290101,주택청약종합저축
보증_29,3,IBK기업은행,일시예치식,예금,01211310130,1석7조통장(정기예금)
보증_30,3,IBK기업은행,수시입출금식,입출금,01111020063,IBK W소확행통장(입출금식)
보증_31,3,IBK기업은행,수시입출금식,입출금,01111020058,IBK썸통장(입출금식)
보증_32,3,IBK기업은행,"자유적립식,혼합식,채권",,01511880012,IBK W소확행통장[적립식중금채]
보증_33,3,IBK기업은행,"자유적립식,채권",,01511880005,1석7조통장[적립식중금채]
보증_34,3,IBK기업은행,"일시예치식,채권",,01511810018,할인맞춤채권(단기중금채_개인)
보증_35,3,IBK기업은행,"자유적립식,채권",,01511880003,IBK적립식중금채(개인)
보증_36,3,IBK기업은행,수시입출금식,,01111030029,IBK내사업처음통장
보증_37,3,IBK기업은행,"일시예치식,채권",,01511830097,IBK중기근로자우대중금채
보증_38,3,IBK기업은행,수시입출금식,,01111010516,중진공 정책자금 전용통장
보증_39,3,IBK기업은행,자유적립식,,01211210125,IBK청년도약계좌
보증_40,3,IBK기업은행,수시입출금식,,01111010080,IBK중기근로자급여파킹통장
보증_41,3,IBK기업은행,일시예치식,예금,01211310140,IBK혁신창업기업응원통장[실세금리정기예금]
보증_42,3,IBK기업은행,"일시예치식,채권",,01511830096,IBK혁신창업기업응원통장[중소기업금융채권]
보증_43,3,IBK기업은행,자유적립식,적금,01211210124,IBK부모급여우대적금
보증_44,3,IBK기업은행,자유적립식,적금,01211210122,IBK중기근로자우대적금
보증_45,3,IBK기업은행,자유적립식,적금,01211210121,IBK탄소제로적금
보증_46,3,IBK기업은행,수시입출금식,,01111020073,IBK장병급여안심통장
보증_47,3,IBK기업은행,수시입출금식,,01111020071,IBK도토리통장
보증_48,3,IBK기업은행,수시입출금식,,01111010078,i-ONE U 통장
보증_49,3,IBK기업은행,정액적립식,,01211220034,IBK ALL바른기업통장(정기적립식)
보증_50,3,IBK기업은행,"자유적립식,채권",,01511880017,직장인우대MY통장(적립식중금채)
보증_51,3,IBK기업은행,수시입출금식,저축,01111020070,IBK취업이룸통장(저축예금)
보증_52,3,IBK기업은행,자유적립식,,01211220033,IBK ALL바른기업통장(자유적립식)
