대출_고유키,금융회사코드,금융회사명,금융상품코드,금융상품명,기준일자,심의필일자,적재일자
대출_0,002,KDB산업은행,A100000000,혁신성장산업 지원자금,,준법감시인 심의필제2023-10-013호(2023.10.27),20240104
대출_1,002,KDB산업은행,S100000000,서비스산업 지원자금,,준법감시인 심의필2023-07-029호(2023.07.31),20240104
대출_2,002,KDB산업은행,K201900002,동산·채권 담보대출 지원자금,,준법감시인 심의필제2023-07-060호(2023.07.31),20240104
대출_3,002,KDB산업은행,F100000000,공장부지분양대금 지원자금,,준법감시인 심의필제2023-07-032호(2023.07.31),20240104
대출_4,002,KDB산업은행,abcdefghi3,국제여신 특별자금 (국외 소재 기업(비거주자) 대상 상품),,준법감시인 심의필제2023-10-004호(2023.10.23),20240104
대출_5,002,KDB산업은행,1234567890,MDB/GCF/ECA사업 지원자금 (국외 소재 기업(비거주자) 대상 상품),,준법감시인 심의필제2023-07-056호(2023.07.31),20240104
대출_6,002,KDB산업은행,111111111111,일자리기업 지원자금_일자리기업 등 협약보증부 대출 특별자금,,준법감시인 심의필제2023-07-027호(2023.07.31),20240104
대출_7,002,KDB산업은행,AS10000000,사회책임경영기업 지원자금,,준법감시인 심의필제2023-07-054호(2023.07.31),20240104
대출_8,002,KDB산업은행,abcdefghi1,해외직접투자 지원자금,,준법감시인 심의필제2023-07-031호(2023.07.31),20240104
대출_9,002,KDB산업은행,ER12000000,지역경제활성화 지원자금,,준법감시인 심의필제2023-07-061호(2023.07.31),20240104
대출_10,002,KDB산업은행,G230000000,동반성장 지원자금,,준법감시인 심의필제2023-07-024호(2023.07.31),20240104
대출_11,002,KDB산업은행,RT10000000,Start-up 지원자금,,준법감시인 심의필2023-07-041호(2023.07.31),20240104
대출_12,002,KDB산업은행,F700000000,일자리기업 지원자금_일자리창출기업 지원자금,,준법감시인 심의필제2023-07-053호(2023.07.31),20240104
대출_13,002,KDB산업은행,210026000101,예적금담보대출,,준법감시인 심의필제2021-12-008호(2021.12.31),20240104
대출_14,002,KDB산업은행,210002000577,신탁대출,,준법감시인 심의필제2021-11-001호,20240104
대출_15,002,KDB산업은행,ER10000000,중소·중견 지원자금,,준법감시인 심의필제2023-10-014호(2023.10.27),20240104
대출_16,002,KDB산업은행,200270000100,KDB 탄소스프레드_저탄소생태계,,준법감시인 심의필제2023-03-004호(2023.03.09),20240104
대출_17,002,KDB산업은행,AB0000000010,"혁신기업 국가대표 1,000 지원자금",,준법감시인 심의필제2023-07-050호(2023.07.31),20240104
대출_18,002,KDB산업은행,AB0000000001,데이터 기반 혁신기업 특별자금,,준법감시인 심의필제2023-07-049호(2023.07.31),20240104
대출_19,002,KDB산업은행,AB0000000002,대한민국 대전환 특별자금,,준법감시인 심의필2023-10-003호(2023.10.23),20240104
대출_20,002,KDB산업은행,AB0000000003,스마트공장 지원자금,,준법감시인 심의필제2023-07-047호(2023.07.31),20240104
대출_21,002,KDB산업은행,200306000101,초격차산업지원 프로그램_원전 산업 지원,,준법감시인 심의필제2023-10-008호(2023.10.23),20240104
대출_22,002,KDB산업은행,AB0000000006,소재·부품·장비산업 지원자금,,준법감시인 심의필제2023-10-015호(2023.10.27),20240104
대출_23,002,KDB산업은행,200303000101,설비투자촉진 프로그램,,준법감시인 심의필제2023-07-045호(2023.07.31),20240104
대출_24,002,KDB산업은행,200307000102,상생경영 우수기업 특별운영자금,,준법감시인 심의필제2023-07-025호(2023.07.31),20240104
대출_25,002,KDB산업은행,200308000102,신성장경쟁력강화 지원자금,,준법감시인 심의필제2023-07-001호(2023.07.31),20240104
대출_26,002,KDB산업은행,200313000102,초격차산업지원 프로그램_바이오헬스 산업 지원,,준법감시인 심의필제2023-10-006호(2023.10.23),20240104
대출_27,002,KDB산업은행,200305000101,사업구조전환 지원자금,,준법감시인 심의필제2023-07-030호(2023.07.31),20240104
대출_28,002,KDB산업은행,200309000102,미래핵심산업 지원자금,,준법감시인 심의필제2023-07-002호(2023.07.04),20240104
대출_29,002,KDB산업은행,200311000102,초격차산업지원 프로그램_이차전지 산업 지원,,준법감시인 심의필제2023-10-007호(2023.10.23),20240104
대출_30,002,KDB산업은행,200310000102,수출경쟁력 강화 지원자금,,준법감시인 심의필제2023-07-030호(2023.07.31),20240104
대출_31,002,KDB산업은행,200316000101,초격차산업지원 프로그램_디스플레이 산업 지원,,준법감시인 심의필제2023-10-004호(2023.10.23),20240104
대출_32,002,KDB산업은행,200289000100,친환경사회조성 자금,,준법감시인 심의필제2023-03-004호(2023.03.09),20240104
대출_33,002,KDB산업은행,200304000101,초격차산업지원 프로그램_반도체 산업 지원,,준법감시인 심의필제2023-10-009호(2023.10.23),20240104
