카드_고유키,상품명,카드설명
카드_1,휴먼라이프 S1 수협카드,바다위새로운세상휴먼라이프크루즈여행을위한맞춤혜택
카드_2,S1카드,7개업종중선택한1개업종가맹점에서카드사용시7%청구할인
카드_3,biz top기업 신용카드,법인/개인사업자에최적화된혜택을드리는카드
카드_4,국고보조금전용카드(e나라도움카드) (개인),국고보조금집행시사용되는카드
카드_5,국고보조금전용카드(e나라도움카드) (기업),국고보조금집행시사용되는카드로써국고보조금을교부받는보조사업자에게발급해드리는카드
카드_6,국민행복카드 (신용),국가바우처통합카드
카드_7,비자플래티늄카드 (개인),특별한1%의당신을위해남다른품격과가치의시작
카드_8,비자플래티늄카드 (기업),특별한1%의당신을위해남다른품격과가치의시작
카드_9,비즈플러스,성공비즈니스를위한든든한파트너
카드_10,독도사랑카드 (개인),ILoveDokdo
카드_11,독도사랑카드 (기업),대한민국우리의땅독도를지킵시다
카드_12,Feel카드(기업),"신용카드고유기능을이용하는법인신용카드로포인트약정기업회원연안여객포인트적립,바다마트청구할인"
카드_13,Feel카드(개인),"행복한생활,쇼핑의즐거움"
카드_14,Sh그린 신용카드 (기업),"생활도Green,카드도Green일상속에서손쉽게녹색생활을실천하고그린카드로우리가족생활비절약은물론다양한혜택까지~"
카드_15,정부구매카드,투명하고효율적인정부예산집행정부관서모든예산과목의운영경비를정부구매카드로지출하세요.
카드_16,블루스카이카드 (기업),회원의카드이용금액에따라제휴업체인대한항공의스카이패스마일리지를적립해주는상품
카드_17,Real Zero 부경대 학생증 파트너 체크,수협은행제휴학교전용체크카드
카드_18,국고보조금전용 체크카드(e나라도움 체크카드) (기업),국고보조금집행시사용되는카드로써국고보조금을교부받는보조사업자및대상자에게발급해드리는체크카드
카드_19,국고보조금전용 체크카드(e나라도움 체크카드) (개인),국고보조금집행시사용되는카드로써국고보조금을교부받는보조사업자및대상자에게발급해드리는체크카드
카드_20,국민행복카드 (체크),국가바우처통합카드
카드_21,Sh그린 체크카드 (기업),"생활도Green,카드도Green일상속에서손쉽게녹색생활을실천하고그린카드로우리가족생활비절약은물론다양한혜택까지~"
카드_22,제주도 보조금카드,제주도청에서민간(개인및단체)에지원되는보조금예산에대한집행을수협은행에서발행된보조금전용카드를통하여집행하도록발행된카드
카드_23,코웨이 우리카드 Ⅱ,코웨이 렌탈요금 청구할인!
카드_24,SK매직 우리카드 Ⅱ,SK매직 렌탈요금 청구할인!
카드_25,LG전자 우리카드,LG전자 구독요금 청구할인과 장기할부 서비스!
카드_26,바디프랜드 우리카드 Ⅱ,바디프랜드 렌탈요금 청구할인과 장기할부 서비스!
카드_27,넥센타이어 우리카드 Ⅱ,넥센타이어 렌탈요금 청구할인!
