보증_고유키,금융회사코드,금융회사명,상품종류,상품유형,금융상품코드,금융상품명,가입방법,이자지급방법,예금자보호,세제혜택,만기후이자율,우대조건,가입제한,가입대상,기타 유의사항,최고한도,저축기간,저축금리,최고금리,최고 우대금리,가입금액,기준일자,심의필일자,적재일자,상품설명,중도해지금리,상품판매기간
보증_0,002,KDB산업은행,목돈모으기,정기적금,100239000101,KDB 기업정기적금,"영업점, 기업인터넷뱅킹","매월 약정한 날짜에 월저축금을 입금하는 경우- 납입건별(세전 만기) : 납입금액 × 적용이율 × 납입월수 ÷ 12 월저축금을 약정한 날짜보다 먼저 또는 늦게 납입한 경우- 적립식예금약관 및 KDB기업정기적금 특약에 따라 이자를 계산 약정한 날짜가 비영업일인 경우, 익영업일까지 납입하면 약정한 날짜에 납입한 것으로 봅니다.","이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.",가능,,없음,계좌 수 제한 없음,"법인(임의단체 제외), 개인사업자","계약체결 전 상품설명서, 약관을 반드시 읽어보시기 바랍니다. 금융소비자는 해당 상품에 관하여 충분히 설명을 받을 권리가 있습니다. 수수료 등 부대비용이 발생할 수 있습니다. 본 안내는 관련 법령 및 내부통제기준에 따른 절차를 준수하였습니다.",,6개월 이상 3년 이하,"3.13(6개월 이상),3.1(12개월 이상),2.99(24개월 이상),2.98(36개월)",3.13,0.0,1만원 이상,20240104,준법감시인 심의필 제2023-10-018(2023.10.27),20240104.0,기업 전용 정기적금 상품,,
보증_1,002,KDB산업은행,목돈모으기,정기적금,100238000101,KDB 자유적금,"영업점, 인터넷뱅킹, 스마트폰뱅킹",납입건별(세전 만기) : 납입금액 × 적용이율 × 납입일수 ÷ 365,"이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.",가능,만기후 이율경과기간만기후이율만기후 1년 이내만기일 현재 고시된 일반정기적금(계약기간) 기본이율의 1/2만기후 1년 초과만기일 현재 고시된 보통예금 적용이율 해당이율이 변경된 때에는 변경된 날로부터 변경된 이율 적용하여 이자 계산,없음,1인 최대 5계좌,"개인, 개인사업자, 임의단체","계약체결 전 상품설명서, 약관을 반드시 읽어보시기 바랍니다. 금융소비자는 해당 상품에 관하여 충분히 설명을 받을 권리가 있습니다. 수수료 등 부대비용이 발생할 수 있습니다. 본 안내는 관련 법령 및 내부통제기준에 따른 절차를 준수하였습니다.",,1개월 이상 3년 이하,"3.18(1개월 이상),3.53(6개월 이상),3.6(12개월 이상),3.49(24개월 이상),3.48(36개월)",3.60,0.0,1만원 이상,20240104,준법감시인 심의필 제2023-10-017호(2023.10.27),20240104.0,복잡한 우대금리 조건 없이 쉽고 간편한 적금 상품,,
보증_2,002,KDB산업은행,목돈굴리기,정기예금,100237000101,KDB 정기예금,"영업점, 개인인터넷뱅킹, 기업인터넷뱅킹, 개인스마트폰뱅킹, 제휴채널 -인터넷뱅킹, 스마트폰뱅킹 및 제휴채널을 통한 가입은 입출금이 자유로운 예금 계좌(이하 ＇근거계좌＇)를 보유한 고객에 한해 가능",,"이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.","비과세 종합저축 가능(전 금융기관 통합한도 범위 내) 단, 관련 세법 개정 시 세율이 변경되거나 세금이 부과될 수 있음",,,,제한없음,"계약체결 전 상품설명서, 약관을 반드시 읽어보시기 바랍니다. 금융소비자는 해당 상품에 관하여 충분히 설명을 받을 권리가 있습니다. 수수료 등 부대비용이 발생할 수 있습니다. 본 안내는 관련 법령 및 내부통제기준에 따른 절차를 준수하였습니다.",,1개월 이상 5년 이하,"3.1(개인,만기지급식,1개월 이상),3.15(개인,만기지급식,2개월 이상),3.2(개인,만기지급식,3개월 이상),3.3(개인,만기지급식,4개월 이상),3.4(개인,만기지급식,5개월 이상),3.5(개인,만기지급식,6개월 이상),3.53(개인,만기지급식,7개월 이상),3.57(개인,만기지급식,8개월 이상),3.6(개인,만기지급식,9개월 이상),3.63(개인,만기지급식,10개월 이상),3.67(개인,만기지급식,11개월 이상),3.7(개인,만기지급식,12개월 이상),3.35(개인,만기지급식,18개월 이상),3.35(개인,만기지급식,24개월 이상),3.35(개인,만기지급식,36개월 이상),3.35(개인,만기지급식,48개월 이상),3.35(개인,만기지급식,60개월 이상),3.1(개인,월이자지급식,1개월 이상),3.1(개인,월이자지급식,2개월 이상),3.15(개인,월이자지급식,3개월 이상),3.25(개인,월이자지급식,4개월 이상),3.35(개인,월이자지급식,5개월 이상),3.45(개인,월이자지급식,6개월 이상),3.48(개인,월이자지급식,7개월 이상),3.52(개인,월이자지급식,8개월 이상),3.55(개인,월이자지급식,9개월 이상),3.58(개인,월이자지급식,10개월 이상),3.62(개인,월이자지급식,11개월 이상),3.65(개인,월이자지급식,12개월 이상),3.25(개인,월이자지급식,18개월 이상),3.25(개인,월이자지급식,24개월 이상),3.25(개인,월이자지급식,36개월 이상),3.25(개인,월이자지급식,48개월 이상),3.25(개인,월이자지급식,60개월 이상),2.6(법인,만기지급식,1개월 이상),2.65(법인,만기지급식,2개월 이상),2.7(법인,만기지급식,3개월 이상),2.73(법인,만기지급식,4개월 이상),2.77(법인,만기지급식,5개월 이상),2.8(법인,만기지급식,6개월 이상),2.82(법인,만기지급식,7개월 이상),2.83(법인,만기지급식,8개월 이상),2.85(법인,만기지급식,9개월 이상),2.87(법인,만기지급식,10개월 이상),2.88(법인,만기지급식,11개월 이상),2.9(법인,만기지급식,12개월 이상),2.9(법인,만기지급식,18개월 이상),2.9(법인,만기지급식,24개월 이상),2.9(법인,만기지급식,36개월 이상),2.9(법인,만기지급식,48개월 이상),2.9(법인,만기지급식,60개월 이상),2.6(법인,월이자지급식,1개월 이상),2.6(법인,월이자지급식,2개월 이상),2.65(법인,월이자지급식,3개월 이상),2.68(법인,월이자지급식,4개월 이상),2.72(법인,월이자지급식,5개월 이상),2.75(법인,월이자지급식,6개월 이상),2.77(법인,월이자지급식,7개월 이상),2.78(법인,월이자지급식,8개월 이상),2.8(법인,월이자지급식,9개월 이상),2.82(법인,월이자지급식,10개월 이상),2.83(법인,월이자지급식,11개월 이상),2.85(법인,월이자지급식,12개월 이상),2.8(법인,월이자지급식,18개월 이상),2.8(법인,월이자지급식,24개월 이상),2.8(법인,월이자지급식,36개월 이상),2.8(법인,월이자지급식,48개월 이상),2.8(법인,월이자지급식,60개월 이상),0.01(금융기관,만기지급식,1개월 이상),0.01(금융기관,만기지급식,2개월 이상),0.01(금융기관,만기지급식,3개월 이상),0.01(금융기관,만기지급식,4개월 이상),0.01(금융기관,만기지급식,5개월 이상),0.01(금융기관,만기지급식,6개월 이상),0.01(금융기관,만기지급식,7개월 이상),0.01(금융기관,만기지급식,8개월 이상),0.01(금융기관,만기지급식,9개월 이상),0.01(금융기관,만기지급식,10개월 이상),0.01(금융기관,만기지급식,11개월 이상),0.01(금융기관,만기지급식,12개월 이상),0.01(금융기관,만기지급식,18개월 이상),0.01(금융기관,만기지급식,24개월 이상),0.01(금융기관,만기지급식,36개월 이상),0.01(금융기관,만기지급식,48개월 이상),0.01(금융기관,만기지급식,60개월 이상)",3.70,,100만원 이상,20240104,준법감시인 심의필 제2023-07-067호(2023.07.31),20240104.0,누구나 쉽게 이해하고 가입할 수 있는 정기예금 대표상품,,
보증_3,002,KDB산업은행,입출금자유상품,자유입출금,100024000101,KDB뉴딜 기업통장,"영업점- KDBdream 기업 Account 계좌에 한해 이 예금으로 상품 전환 가능 (단, 1개사당 1계좌를 초과하여 가입 및 전환 불가)",계좌개설일(또는 직전 원가일) ~ 원가일 전일의 기간 동안 (매일 최종 잔액 × 해당 일자별 적용이율 ÷ 365)의 합계액,"이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.",비과세 종합저축 가입 불가능,,,,법인(1사 1계좌),"수수료 등 부대비용이 발생할 수 있습니다. 계약 체결 전 상품설명서, 약관을 반드시 읽어보시기 바랍니다. 금융소비자는 해당 상품에 관하여 충분히 설명을 받을 권리가 있습니다. 본 광고는 관련 법령 및 내부통제기준에 따른 절차를 준수하였습니다.",,제한없음,"1.5(3억원이하),1.5(3억원초과)",1.85,,제한없음,20240104,준법감시인 심의필 제2023-07-074호(2023.07.31),20240104.0,"중견기업 등에 대해서 우대금리 및 우대서비스를 제공하는 상품으로, 결제성 자금의 일시예치 및 여유자금의 단기적 운용 목적으로 적합",,
보증_4,002,KDB산업은행,입출금자유상품,자유입출금,100016000101,KDB Hi 비대면 입출금통장,「비대면 실명확인 서비스」로 가입,계좌개설일(또는 직전 원가일) ~ 원가일 전일의 기간 동안 (매일 최종 잔액 × 해당 일자별 적용이율 ÷ 365)의 합계액,"이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.","비과세 종합저축 가능(전 금융기관 통합한도 범위 내) 단, 관련 세법 개정 시 세율이 변경되거나 세금이 부과될 수 있음",,,,실명의 개인(개인사업자 및 임의단체 제외)으로 만 17세 이상의 국민인 거주자1인 1계좌,"「비대면 실명확인 서비스」를 통해 가입하는 상품은 거래한도(출금이체한도)가 제한됩니다. 거래한도 제한 및 해제방법 등에 대한 자세한 사항은 은행 홈페이지 및 스마트폰뱅킹의 「비대면 실명확인 서비스」안내 페이지를 확인하시기 바랍니다. - 거래한도(인터넷뱅킹/스마트폰뱅킹/폰뱅킹 타행이체 및 당행 타인명의 이체, 자동화기기 출금 u2024 이체 시 통합한도)   1일 200만원 - 거래한도 제한 해제방법 : 영업점 방문 또는 계좌개설일로부터 1개월 경과 후 해제요건 충족 시 온라인 신청 본 상품은 1인 1계좌 가입 가능하며, 추가 개설을 원하시는 경우 기존에 가입한 해당 상품을 모두 해지한 이후 가입이 가능합니다. 수수료 등 부대비용이 발생할 수 있습니다. 계약 체결 전 상품설명서, 약관을 반드시 읽어보시기 바랍니다. 금융소비자는 해당 상품에 관하여 충분히 설명을 받을 권리가 있습니다. 본 광고는 관련 법령 및 내부통제기준에 따른 절차를 준수하였습니다.",,제한없음,2.3(3백만원이상),2.30,,제한없음,20240104,준법감시인 심의필 제2023-11-005호(2023.11.17),20240104.0,"영업점 방문없이 가입이 가능한 고금리 입출금이 자유로운 예금으로 인터넷뱅킹, 스마트폰뱅킹, 폰뱅킹 및 자동화기기이용수수료 우대",,
보증_5,002,KDB산업은행,입출금자유상품,자유입출금,100014000101,KDB Hi 입출금통장,영업점,계좌개설일(또는 직전 원가일) ~ 원가일 전일의 기간 동안 (매일 최종 잔액 × 해당 일자별 적용이율 ÷ 365)의 합계액,"이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.","비과세 종합저축 가능(전 금융기관 통합한도 범위 내) 단, 관련 세법 개정 시 세율이 변경되거나 세금이 부과될 수 있음",,,,"실명의 개인(개인사업자, 임의단체 제외)으로 만 14세 이상의 국민인 거주자 1인 1계좌","본 상품은 미국 시민권자 또는 세법상 미국인의 경우 가입할 수 없습니다. 상품가입 후 ＇미국시민권자 또는 세법상 미국인＇으로 판명된 경우 미국 국세청에 계좌 관련 정보가 통보될 수 있습니다. 수수료 등 부대비용이 발생할 수 있습니다. 계약 체결 전 상품설명서, 약관을 반드시 읽어보시기 바랍니다. 금융소비자는 해당 상품에 관하여 충분히 설명을 받을 권리가 있습니다. 본 광고는 관련 법령 및 내부통제기준에 따른 절차를 준수하였습니다.",,제한없음,2.3(300만원 이하),2.30,,제한없음,20240104,준법감시인 심의필 제2023-07-076호(2023.07.31),20240104.0,"영업점에서 가입이 가능한 온라인 전용 입출금이 자유로운 예금으로 인터넷뱅킹, 스마트폰뱅킹, 폰뱅킹 및 자동화기기 이용수수료 우대",,
보증_6,002,KDB산업은행,입출금자유상품,자유입출금,100015000101,KDBdream Account,영업점- 당행의 기존 저축예금 거래고객은 이 예금으로 전환하여 거래 가능,계좌개설일(또는 직전 원가일) ~ 원가일 전일의 기간 동안 (매일 최종 잔액 × 해당 일자별 적용이율 ÷ 365)의 합계액,"이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.","비과세 종합저축 가능(전 금융기관 통합한도 범위 내) 단, 관련 세법 개정 시 세율이 변경되거나 세금이 부과될 수 있음",,,,실명의 개인(개인사업자 및 임의단체 제외),"수수료 등 부대비용이 발생할 수 있습니다. 계약 체결 전 상품설명서, 약관을 반드시 읽어보시기 바랍니다. 금융소비자는 해당 상품에 관하여 충분히 설명을 받을 권리가 있습니다. 본 광고는 관련 법령 및 내부통제기준에 따른 절차를 준수하였습니다.",,제한없음,2.2(-),2.20,,제한없음,20240104,준법감시인 심의필 제2023-07-075호(2023.07.31),20240104.0,기간·금액 구분없이 단일금리 제공하는 상품으로 온라인금융(인터넷뱅킹 등) 및 자동화기기 (CD/ATM) 이용수수료가 우대되는 예금상품,,
보증_7,002,KDB산업은행,입출금자유상품,자유입출금,0221100000,KDB부가가치세 매입자 납부전용예금,영업점을 통해서만 계좌 개설 및 해지,"분기원가식(매일의 최종잔액을 기준으로 고시한 이율을 적용하여 3개월마다 이자계산 및 지급) 결산일은 매년 3, 6, 9, 12월의 셋째주 금요일로 하며 결산일의 다음 영업일 전일까지의 이자를 계산하여 결산일의 다음 영업일자로 원금에 가산","이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.",,,,,법인 및 개인사업자,"이율 및 서비스는 시장금리동향 등에 따라 변경될 수 있습니다. 이 예금은 양도 및 담보제공이 불가합니다. 이 예금거래에 따른 우대서비스는 은행의 사정에 따라 변경될 수 있으며 서비스의 내용이 변경되는 경우에는 변경내용을 영업점 및 은행 홈페이지에 변경일 1개월 전부터 1개월간 게시합니다. 특히, 변경의 내용이 고객에게 불리한 경우에는 ＇예금거래기본약관＇제21조 약관의 변경 제2항에 의한 방법에 의하여 알리거나 고객 앞 직접 통지합니다.",,제한없음,0.2(약정(만기)),0.20,,제한없음,20240104,준법감시인 심의필 제2018-12-024호(2018.12.28),20240104.0,금 관련 제품 및 스크랩등에 대한 부가가치세 매입자 납부특례 제도 시행에 따라 사업자간 관련 제품 거래 시 매매대금의 결제와 부가가치,,
보증_8,002,KDB산업은행,목돈굴리기,정기예금,100038000101,일반 정기예금,"영업점, 개인인터넷뱅킹, 기업인터넷뱅킹 -인터넷뱅킹을 통한 가입은 입출금이 자유로운 예금 계좌(이하 근거계좌)를 보유한 고객에 한해 가능",가입금액에 대해 가입일(이자지급일)부터 이자지급일(만기일) 전일까지 기간에 대하여 약정이율로 셈한 이자를 매월 해당일에 지급 가입금액 × 적용이율 ÷ 12,"이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.","비과세 종합저축 가능(전 금융기관 통합한도 범위 내) 단, 관련 세법 개정 시 세율이 변경되거나 세금이 부과될 수 있음",만기후 이율 경과기간 만기후이율  만기후 1년 이내 만기일 현재 고시된 일반정기예금(계약기간) 기본이율의 1/2  만기후 1년 초과 만기일 현재 고시된 보통예금 적용이율  해당이율이 변경된 때에는 변경된 날로부터 변경된 이율 적용하여 이자 계산,,,제한없음,"계약체결 전 상품설명서, 약관을 반드시 읽어보시기 바랍니다. 금융소비자는 해당 상품에 관하여 충분히 설명을 받을 권리가 있습니다. 수수료 등 부대비용이 발생할 수 있습니다. 본 안내는 관련 법령 및 내부통제기준에 따른 절차를 준수하였습니다.",,1개월 이상 3년 이하,"2.5(개인,1개월이상),2.6(개인,2개월이상),2.7(개인,3개월이상),2.7(개인,6개월이상),2.7(개인,1년이상),2.7(개인,2년이상),2.7(개인,3년이상),2.5(법인,1개월이상),2.6(법인,2개월이상),2.7(법인,3개월이상),2.7(법인,6개월이상),2.7(법인,1년이상),2.7(법인,2년이상),2.7(법인,3년이상)",2.70,,100만원 이상,20240104,준법감시인 심의필 제2023-07-066호(2023.07.31),20240104.0,만기일을 일수까지 지정하여 가입 가능한 거치식 예금,,
보증_9,002,KDB산업은행,목돈모으기,정기적금,100025000101,일반 정기적금,영업점 방문,"매월 약정한 날짜에 월저축금을 입금하는 경우 - 납입건별(세전 만기) : 납입금액 × 적용이율 × 납입월수 ÷ 12 매월 약정한 날짜에 월저축금을 입금하는 경우 - 적립식예금약관 및 KDB기업정기적금 특약에 따라 이자를 계산 약정한 날짜가 비영업일인 경우, 익영업일까지 납입하면 약정한 날짜에 납입한 것으로 봅니다.","이 예금은 예금자보호법에 따라 예금보험공사가 보호하되, 보호한도는 본 은행에 있는 귀하의 모든 예금보호 대상 금융상품의 원금과 소정의 이자를 합하여 1인당 ""최고 5천만원""이며, 5천만원을 초과하는 나머지 금액은 보호하지 않습니다.","비과세 종합저축 가능(전 금융기관 통합한도 범위 내) 단, 관련 세법 개정 시 세율이 변경되거나 세금이 부과될 수 있음",,,,제한없음,"계약체결 전 상품설명서, 약관을 반드시 읽어보시기 바랍니다. 금융소비자는 해당 상품에 관하여 충분히 설명을 받을 권리가 있습니다. 수수료 등 부대비용이 발생할 수 있습니다. 본 안내는 관련 법령 및 내부통제기준에 따른 절차를 준수하였습니다.",,1개월 이상 3년 이하,"2.5(6개월 이상),2.6(1년 이상),2.7(2년 이상),2.7(3년)",2.70,,1만원 이상,20240104,준법감시인 심의필 제2023-10-016호(2023.10.27),20240104.0,매월 지정일마다 일정액을 적립하여 목돈을 안정적으로 마련할 수 있는 정기적금,,
