대출_고유키,금융상품명,상품특징,대출신청자격,상품설명
대출_0,혁신성장산업 지원자금,9대 선도산업 등 정부발표 혁신성장 분야에 대한 효율적 금융지원,"○ (지원대상) 다음 중 하나에 해당하는 기업 혁신성장 정책금융협의회 선정 「혁신성장 공동기준」 품목 영위업체 정부 선정 혁신기업 국가대표 1000 대상기업 당행 산업기술리서치센터 선정 유망품목 영위업체○ (자금용도) 설비투자, R&D, 운영자금(중소중견기업 전용) 등 * 주식 인수 등 지분투자 또는 영업 양수도를 위한 자금지원 제외 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",9대 선도산업 등 정부발표 혁신성장 분야에 대한 효율적 금융지원
대출_1,서비스산업 지원자금,지식기반 경제로의 도약을 위한 지식기반 서비스산업 육성을 통한 일자리 창출 및 금융생태계 활성화 제고 등,"○ (지원대상) 다음 각 호의 산업 영위기업 지식기반 서비스산업유망서비스산업핀테크산업 사회환경서비스산업○ (자금용도) 설비투자, R&D, 운영자금(중소중견기업 및 기타기업전용) 등 * 주식인수 등 지분투자 또는 영업 양수도를 위한 자금지원 제외 * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",지식기반 경제로의 도약을 위한 지식기반 서비스산업 육성을 통한 일자리 창출 및 금융생태계 활성화 제고 등
대출_2,동산·채권 담보대출 지원자금,동산·채권 담보대출 활성화 지원,"○ (지원대상) 동산채권 등의 담보에 관한 법률에 따라 동산채권 등의 선순위 근담보권(한정근, 특정근)설정 가능한 기업 * 중소중견기업 또는 상업등기법에 의거 상호등기한 업력 1년 이상 개인사업자○ (자금용도) 설비투자, R&D, 운영자금 등 * 주식 인수 등 지분투자 또는 영업 양수도를 위한 자금지원 제외 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",동산·채권 담보대출 활성화 지원
대출_3,공장부지분양대금 지원자금,중소\u2024중견기업의 공장설립 등 설비투자 지원,"○ (지원대상) 다음 중 하나에 해당하는 산업단지 또는 물류단지 내 토지를 분양받은 산업은행 신용등급 BBB-이상 중소기업, 중견기업, 기타기업(공공기관 제외)- 지원대상 산업단지, 물류단지 정부, 지자체, 공공기관이 분양(지분율 20이상 SPC 포함)하는 산업단지 및 물류단지 산업은행 신용등급 A이상 대기업(SPC 제외)이 직접 분양하는 산업단지 및 물류단지 산업은행이 자금을 지원한 산업단지 및 물류단지(직접분양 또는 SPC 포함) 분양계약(또는 매입) 후 최초 자금인출과 동시에 근저당권 설정이 가능한 산업단지 및 물류단지- 산업단지, 물류단지 내 지원가능 토지 산업단지 내 &rsquo산업시설용지&lsquo 또는 &rsquo복합용지(복합용지 내 산업시설을 설치하기 위한 용지)&lsquo 물류단지 내 &rsquo물류시설용지&lsquo*공공기관 :「공공기관의 운영에 관한 법률」및「지방공기업법」에 의한 공공기관, 지방공기업** 산업단지 :「산업입지 및 개발에 관한 법률」제2조에 따른 국가산업단지, 일반산업단지, 도시첨단산업단지, 농공단지 *** 물류단지 :「물류시설의 개발 및 운영에 관한 법률」제2조에 따른 물류단지 **** 분양 : 임대산단 공장부지를 임차사용중에 분양받는 경우 포함(단, 공장부지에 신축된 건물을 포함하여 선순위 담보취득 조건)분양권 매입을 통해 당초 수분양자와 동일한 지위를 유지하는 것이 가능한 경우 포함 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의○ (자금용도) 토지매입(계약금(위약금)은 지원대상 외)",중소\u2024중견기업의 공장설립 등 설비투자 지원
대출_4,국제여신 특별자금 (국외 소재 기업(비거주자) 대상 상품),해외 우량 영업자산 확충 및 국내기업 해외진출 지원을 위한 국외소재기업(이하 \u2018비거주자\u2019) 대상 국제여신상품,"○ 비한국계 비거주자 대상 선박항공기 금융 - 단, 고객(기업)의 산업은행 기업신용평가등급 A- 이상○ 비한국계 비거주자 대상 Cross-border 금융 - 단, 고객(기업)의 산업은행 기업신용평가등급 A- 이상○ 비거주자 대상 PF 금융 - 단, 고객(기업)의 산업은행 기업신용평가등급 A-이상이고, 국제신용평가기관(주1) 신용등급 A-(또는 상응 등급) 이상 국가(주2)에서 진행하는 사업 * (주1) S&P, Moody&rsquos, Fitch 장기등급 (복수 이상의 기관 평가등급 존재 시, 최저 등급 기준)(주2) 복수 이상의 국가에서 사업을 진행하는 경우, 가장 낮은 국가신용등급 기준○ 국내기업의 해외현지법인(주1) 앞 역외대출 - 단, 아래 요건(a,b) 중 하나 이상 조건 충족 필요a) 고객(기업) 또는 보증인(주2)의 산업은행 기업신용평가등급 A- 이상b) 우량담보 제공여신(주3) * (주1) 특수목적법인(SPC) 제외(주2) 보증인 자격 : 외부감사 대상 법인(단, 보증비율 90 이상)(주3) 다음과 같음 - 국채, 지방채, 금융채(산금채 및 산업은행 기업신용평가등급 A- 이상인 은행이 발행한 채권) 및 특별법에 의하여 정부 또는 법인이 발행한 채권 - 산업은행 기업신용평가등급 A- 이상인 은행 및 우체국의 예적금 - 신탁수익권으로서 금전신탁의 수익권(자본시장법에 의한 투자신탁회사의 수익증권 포함) - 산업은행 기업신용평가등급 A- 이상인 은행의 보증서 - 최근 1년 이내 투자적격등급 이상을 받은 외국금융기관이 발행한 보증서 - 신보, 기보, 지역신보, 무역보험공사, 산업기반신보, 한국주택금융공사의 보증서 또는 수출보증보험증권(다만, 신보, 기보, 지역신보 보증서는 여신만기까지 보증해지특약 없이 부분보증비율 80 이상인 경우) - 무역보험공사의 수출보험증권(다만, 보험약관의 면책조항 등을 감안하여 담보로서의 가치가 있는 보험종목에 한함(예시 : 단기수출보험(구매자신용, 포페이팅, 본지사금융, EFF), 중장기수출보험(구매자신용), 해외사업금융보험)) * 대출대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",해외 우량 영업자산 확충 및 국내기업 해외진출 지원을 위한 국외소재기업(이하 \u2018비거주자\u2019) 대상 국제여신상품
대출_5,MDB/GCF/ECA사업 지원자금 (국외 소재 기업(비거주자) 대상 상품),"다자개발은행(MDB), 녹색기후기금(GCF) 및 수출신용기관(ECA)과의 협조 융자와 국내기업의 해외 수주 활성화를 위한 상품","○ (지원대상) 아래 기본요건을 모두 충족하는 사업 국제신용평가기관 신용등급(주1) BB- (또는 상응 등급) 이상 국가사업 - 단, 아래 요건 모두 충족 시, B0 (또는 상응 등급) 이상 국가사업 가능 산업은행이 이행기구로 참여하는 GCF 사업 MDB/ECA(주2)의 PRI(주3) 또는 보증 조건부 사업(산업은행 총 참여금액의 80 이상) 정부 발주 재정사업 또는 PF 형식의 민관협력사업(PPP)으로, 국가 신용도를 바탕으로 한 사업 MDB(주4), GCF, ECA 중 1개 이상 기관 참여 사업 국내기업의 해외 건설/플랜트 등 수주지원용 자금(기 수주사업 포함)* (주1) S&P, Moody＇s, Fitch 장기등급(복수기관 평가등급 존재 시, 최저 등급 기준) (주2) ECA의 경우, 해당기관(또는 소속국가)이 국제신용평가기관의 투자적격등급 보유 조건 (주3) PRI (Political Risk Insurance)의 경우, 계약불이행(또는 동등 수준) 보장 조건 포함 필요 (주4) AIIB, World Bank 그룹(IBRD, MIGA, IFC), ADB, EBRD, IaDB 등○ (지원방식) 선순위대출 원칙 - 단, 프로젝트의 특성 등을 감안하여 필요한 경우, 주식출자후순위대출 등 가능 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의","다자개발은행(MDB), 녹색기후기금(GCF) 및 수출신용기관(ECA)과의 협조 융자와 국내기업의 해외 수주 활성화를 위한 상품"
대출_6,일자리기업 지원자금_일자리기업 등 협약보증부 대출 특별자금,신기보 앞 특별출연을 통한 은행 수익의 사회 환원과 창업일자리 창출 활성화 제고,"○ (지원대상) 아래 중 하나에 해당하는 신기보 보증서를 발급받은 중소기업 신용보증기금의 협약보증 지원대상 - 일자리창출기업(창업7년이내), 사회적경제기업 기술보증기금의 협약보증 지원대상 - 일자리창출기업, 사회적경제기업○ (자금용도) 운영자금",신기보 앞 특별출연을 통한 은행 수익의 사회 환원과 창업일자리 창출 활성화 제고
대출_7,사회책임경영기업 지원자금,기업의 사회적 책임 확산 및 사회적가치 제고 노력 확대를 촉진하여 지속가능한 경제사회통합 구현 지원,"○ (지원대상) 아래에 해당하는 중소기업 및 중견기업 아래 각 호에 해당하는 (예비)사회적기업 가.「사회적기업 육성법」제2조 제1호에 따른 사회적기업 나. 지방자치단체장이나 중앙행정부처의 장에 의해 지정되는 예비사회적기업 「환경기술 및 환경산업 지원법」에 따라 아래 각 호에 해당하는 기업 가. 동법 제10조의3 &lsquo녹색경영기업금융지원시스템&rsquo 환경성 평가상 BBB 등급 이상 기업 나. 동법 제7조의6에 따라 지정된 우수환경산업체 고용의 양적질적 개선* 기업 * 상시근로자수 증가, 청년장애인 고용 증가, 비정규직의 정규직 전환 직업계고 현장실습 참여 기업 중 시도교육청이 선정한 현장실습 선도기업○ (자금용도) 설비투자, R&D, 운영자금 등 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",기업의 사회적 책임 확산 및 사회적가치 제고 노력 확대를 촉진하여 지속가능한 경제사회통합 구현 지원
대출_8,해외직접투자 지원자금,국내기업의 대외경쟁력 및 새로운 먹거리 확보를 위한 해외진출 지원 상품중소중견기업의 해외진출을 통한 글로벌화 중점 지원,○ (지원대상) 해외진출기업* * 기업규모(중소중견대기타) 무관\t○ (자금용도)「외국환거래법」및「외국환거래법 시행령」에 의한 해외직접투자 자금 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의,국내기업의 대외경쟁력 및 새로운 먹거리 확보를 위한 해외진출 지원 상품중소중견기업의 해외진출을 통한 글로벌화 중점 지원
대출_9,지역경제활성화 지원자금,○ 지방소재 중소·중견기업에 대한 우대 지원 및 수도권기업의 지방이전 지원으로 지방경제 활성화 도모,"○ (지원대상) 다음 각 호의 중소중견기업 및 대기업 대상 * SPC(유동화 등) 사용 불가 지방이전기업 : 수도권(서울, 인천, 경기도) 기업의 지방이전 *계열대기업 지원 가능 지방소재 중소중견기업 : 본사 혹은 주요 공장이 수도권 외 소재 산업단지 및 물류단지 내 공장부지 분양받은 기업 * 「공장부지분양대금 지원자금」지원대상과 동일(단, 신용등급 제한없음)○ (자금용도) 설비투자, R&D, 운영자금 등 * 지원대상에 관한 추가 상세사항은 가까운 영업점 앞 문의",○ 지방소재 중소·중견기업에 대한 우대 지원 및 수도권기업의 지방이전 지원으로 지방경제 활성화 도모
